,Ancestry,Donor Category,Date,Mean
209,Caucasian,ID Graduate,03/11/2022,5.166666666666667
213,Caucasian,ID Graduate,03/15/2022,5.052631578947368
207,Caucasian,ID Graduate,03/09/2022,5.05
200,Caucasian,ID Graduate,03/02/2022,5.045454545454546
198,Caucasian,ID Graduate,02/28/2022,5.0
298,Latino,ID Graduate,03/12/2022,5.0
314,Latino,Non-ID,03/06/2022,5.0
301,Latino,ID Graduate,03/15/2022,5.0
300,Latino,ID Graduate,03/14/2022,5.0
216,Caucasian,ID Graduate,03/18/2022,5.0
299,Latino,ID Graduate,03/13/2022,5.0
272,Latino,ID,03/08/2022,5.0
294,Latino,ID Graduate,03/08/2022,5.0
295,Latino,ID Graduate,03/09/2022,5.0
296,Latino,ID Graduate,03/10/2022,5.0
297,Latino,ID Graduate,03/11/2022,5.0
305,Latino,ID Graduate,03/19/2022,5.0
304,Latino,ID Graduate,03/18/2022,5.0
303,Latino,ID Graduate,03/17/2022,5.0
302,Latino,ID Graduate,03/16/2022,5.0
390,Multi,ID Graduate,03/16/2022,5.0
201,Caucasian,ID Graduate,03/03/2022,4.9523809523809526
210,Caucasian,ID Graduate,03/12/2022,4.947368421052632
211,Caucasian,ID Graduate,03/13/2022,4.947368421052632
212,Caucasian,ID Graduate,03/14/2022,4.947368421052632
208,Caucasian,ID Graduate,03/10/2022,4.894736842105263
214,Caucasian,ID Graduate,03/16/2022,4.894736842105263
215,Caucasian,ID Graduate,03/17/2022,4.842105263157895
375,Multi,ID Graduate,03/01/2022,4.8
218,Caucasian,ID Graduate,03/20/2022,4.5
219,Caucasian,ID Graduate,03/21/2022,4.5
110,Black,ID Graduate,02/28/2022,4.5
191,Caucasian,ID,03/15/2022,4.325
217,Caucasian,ID Graduate,03/19/2022,4.315789473684211
381,Multi,ID Graduate,03/07/2022,4.25
380,Multi,ID Graduate,03/06/2022,4.25
379,Multi,ID Graduate,03/05/2022,4.25
382,Multi,ID Graduate,03/08/2022,4.25
194,Caucasian,ID,03/18/2022,4.2368421052631575
192,Caucasian,ID,03/16/2022,4.2
197,Caucasian,ID,03/21/2022,4.027027027027027
196,Caucasian,ID,03/20/2022,4.027027027027027
176,Caucasian,ID,02/28/2022,4.02
315,Latino,Non-ID,03/07/2022,4.0
316,Latino,Non-ID,03/08/2022,4.0
310,Latino,Non-ID,03/02/2022,4.0
319,Latino,Non-ID,03/11/2022,4.0
311,Latino,Non-ID,03/03/2022,4.0
317,Latino,Non-ID,03/09/2022,4.0
195,Caucasian,ID,03/19/2022,4.0
394,Multi,ID Graduate,03/20/2022,4.0
318,Latino,Non-ID,03/10/2022,4.0
393,Multi,ID Graduate,03/19/2022,4.0
312,Latino,Non-ID,03/04/2022,4.0
313,Latino,Non-ID,03/05/2022,4.0
182,Caucasian,ID,03/06/2022,3.975609756097561
190,Caucasian,ID,03/14/2022,3.972972972972973
189,Caucasian,ID,03/13/2022,3.972972972972973
193,Caucasian,ID,03/17/2022,3.951219512195122
185,Caucasian,ID,03/09/2022,3.875
